Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
11/1/15,2432,2549,0,8166,330,1402,337314,591,2220,528,0,233,51%,3.8,0:02:45,0,0,0,0%,6557,3362,1024,772,496,421,89,66,5372,1.08s,55%,3.2,0:02:12
11/2/15,4295,4559,0,16432,1145,2338,928955,1298,6802,1151,0,1145,45%,5.2,0:05:15,0,0,0,0%,13439,7148,1757,1369,975,794,261,190,11224,0.93s,51%,3.6,0:03:24
11/3/15,5179,5506,0,19475,1212,2963,1071168,1511,7753,1313,0,1212,47%,5.1,0:05:03,0,0,0,0%,16494,8677,1600,1262,1059,862,322,219,14406,1.1s,54%,3.5,0:03:15
11/4/15,4421,4700,0,18191,2863,2622,829080,1330,5216,1163,0,1082,49%,3.9,0:04:32,0,0,0,0%,12424,6924,4662,2524,863,709,242,161,10435,0.93s,56%,3.9,0:02:56
11/5/15,3641,3852,0,13148,1224,2034,718296,1087,4564,956,0,296,45%,4.2,0:04:42,0,0,0,0%,10677,5859,1484,1175,804,647,183,132,9509,1.26s,53%,3.4,0:03:06
11/6/15,3537,3784,0,13799,1064,2064,706662,1056,4558,907,0,1064,49%,4.3,0:04:45,0,0,0,0%,11389,5317,1499,1171,717,567,194,124,10243,0.99s,55%,3.6,0:03:07
11/7/15,2272,2426,0,6730,108,1423,367269,646,2170,573,0,108,58%,3.4,0:03:38,0,0,0,0%,5247,3091,1045,740,366,315,72,52,4497,1.36s,59%,2.8,0:02:31
11/8/15,2306,2457,0,7053,117,1436,366418,654,2155,577,0,117,57%,3.3,0:03:20,0,0,0,0%,5502,3085,1035,795,420,356,96,63,4667,1.19s,58%,2.9,0:02:29
11/9/15,3612,3854,0,12888,1162,2027,745391,1173,5525,1017,0,1162,47%,4.7,0:05:03,0,0,0,0%,10458,5947,1354,1053,835,684,241,158,9257,0.83s,53%,3.3,0:03:13
11/10/15,3444,3667,0,13519,1171,1916,719256,1054,4396,929,0,358,46%,4.2,0:04:06,0,0,0,0%,11206,5696,1370,1051,727,604,216,157,10235,0.9s,52%,3.7,0:03:16
11/11/15,3426,3637,0,11912,308,1872,626787,1026,3764,912,0,177,48%,3.7,0:03:46,0,0,0,0%,9523,5736,1506,1127,690,553,193,122,8294,0.83s,51%,3.3,0:02:52
